status	action	phase	category	path	boundary
complete	edit	2	kernel-config	sys/conf/options	Remove NFSCL, NFSD, NFS_ROOT, NFSLOCKD, NFS cache/debug, and NFS-root BOOTP options.
complete	edit	2	kernel-manifest	sys/conf/files	Disconnect NFS common/client/server/root/NLM sources; retain generic KRPC, XDR, and NFSv4 ACL sources for non-NFS consumers.
complete	edit	2	kernel-notes	sys/conf/NOTES	Remove NFS and NFS-root configuration examples; retain unrelated nfsmb and unionfs entries.
complete	edit	2	kernel-config	sys/*/conf/*	Remove architecture and board NFS options plus dtnfscl examples.
complete	edit	2	kernel-modules	sys/modules/Makefile	Stop traversing nfscl, nfscommon, nfsd, nfslockd, and nfssvc modules.
complete	edit	2	kernel-modules	sys/modules/dtrace/Makefile	Stop traversing the NFS client DTrace module.
complete	edit	2	kernel-modules	sys/modules/dtrace/dtraceall/*	Remove the dtnfscl dependency and obsolete opt_nfs header.
complete	edit	2	header-install	include/Makefile	Stop installing NFS public kernel headers.
complete	edit	2	developer-tools	sys/Makefile	Remove NFS and NLM directories from kernel cscope/TAGS traversal.
pending	delete	3	kernel-common	sys/fs/nfs/**	NFS protocol, RPC, state, ID mapping, and wire helpers.
pending	delete	3	kernel-client	sys/fs/nfsclient/**	Current NFS client VFS, vnode, RPC, state, I/O, and tracing implementation.
pending	delete	3	kernel-client	sys/nfsclient/**	Legacy client compatibility headers.
pending	delete	3	kernel-server	sys/fs/nfsserver/**	NFS server dispatch, state, cache, socket, and pNFS implementation.
pending	delete	3	kernel-server	sys/nfsserver/**	Legacy server compatibility and statistics headers.
pending	delete	3	kernel-root	sys/nfs/**	NFS-root, diskless, nfssvc, protocol, and legacy RPC implementation.
pending	delete	3	kernel-locking	sys/nlm/**	NFS Network Lock Manager implementation.
pending	delete	3	kernel-modules	sys/modules/{nfscl,nfscommon,nfsd,nfslockd,nfssvc}/**	Disconnected NFS kernel module makefiles.
pending	delete	3	kernel-modules	sys/modules/dtrace/dtnfscl/**	Disconnected NFS client DTrace module.
pending	edit	4	abi	sys/kern/syscalls.master	Retire nfssvc while reserving syscall slot 155; assess nlm_syscall slot 154 similarly.
pending	edit	4	abi	lib/libsys/**	Remove exported nfssvc interface without renumbering the syscall ABI.
pending	edit	4	abi	include/unistd.h	Remove the public nfssvc declaration.
pending	edit	4	observability	lib/libsysdecode/**	Remove NFSSVC flag decoding.
pending	edit	4	observability	usr.bin/{kdump,truss}/**	Remove NFS syscall decoding paths.
pending	delete	5	client-userland	sbin/{mount_nfs,nfsiod}/**	NFS mount helper and client I/O daemon.
pending	delete	5	client-userland	usr.bin/{nfsstat,showmount}/**	NFS statistics and export inspection utilities.
pending	delete	5	server-userland	usr.sbin/{mountd,nfscbd,nfsd,nfsdumpstate,nfsrevoke,nfsuserd}/**	NFS service and administration programs.
pending	delete	5	server-userland	usr.sbin/{pnfsdscopymr,pnfsdsfile,pnfsdskill}/**	pNFS data-server administration programs.
pending	delete	5	locking-userland	usr.sbin/{clear_locks,rpc.lockd,rpc.statd,rpc.umntall}/**	NFS locking and mount-protocol programs.
pending	delete	5	quota-service	libexec/rpc.rquotad/**	NFS remote quota service; retain local quota support.
pending	edit	5	shared-userland	sbin/umount/**	Remove forced NFS dismount and unmount-RPC behavior while preserving generic unmount.
pending	edit	5	installer	usr.sbin/bsdconfig/**	Remove NFS installation media and networking support.
pending	delete	6	startup	libexec/rc/rc.d/{lockd,mountd,nfscbd,nfsclient,nfsd,nfsuserd,statd}	NFS-specific startup services.
pending	edit	6	configuration	libexec/rc/rc.conf	Remove NFS client/server/mountd/lockd/statd settings.
pending	edit	6	configuration	share/man/man5/rc.conf.5	Remove documentation for deleted NFS settings.
pending	delete	6	packaging	release/packages/ucl/nfs-all.ucl	NFS package definition.
pending	edit	6	upgrade	ObsoleteFiles.inc	Record all removed installed NFS artifacts for upgrades.
pending	edit	6	upgrade	UPDATING	Document removed facilities and invalid local kernel options.
pending	delete	7	loader	stand/libsa/{nfs.c,nfsv2.h}	Standalone NFS client and protocol support.
pending	edit	7	loader	stand/**	Remove NFS filesystem registration and NFS-root paths.
pending	edit	7	diskless	libexec/rc/rc.initdiskless	Remove NFS-root assumptions while preserving generic diskless setup where possible.
pending	delete	8	tests	contrib/netbsd-tests/fs/nfs/**	Imported NFS service and mount tests.
pending	delete	8	tests	tools/regression/nfsmmap/**	NFS mmap regression tests.
pending	delete	8	tracing	share/dtrace/{nfsattrstats,nfsclienttime}	NFS client tracing scripts.
pending	delete	8	tracing	cddl/lib/libdtrace/{nfs.d,nfssrv.d}	NFS DTrace translators/providers.
pending	delete	8	documentation	share/doc/{psd/27.nfsrpc,smm/06.nfs}/**	Historical NFS implementation documents, subject to documentation-retention policy.
pending	delete	8	protocol	include/rpcsvc/nfs_prot.x	NFS RPC protocol definition once no remaining consumer exists.
preserve	keep	all	shared-rpc	usr.sbin/rpcbind/**	Generic ONC RPC portmapper used independently of NFS.
